symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 13:24:00+00:00,235.55,235.71,235.55,235.6488,6546.0,257.0,235.616534
TSLA,2023-08-14 13:25:00+00:00,235.62,235.63,235.4504,235.48,19662.0,455.0,235.523531
TSLA,2023-08-14 13:26:00+00:00,235.44,235.46,235.33,235.33,18186.0,516.0,235.391949
TSLA,2023-08-14 13:27:00+00:00,235.33,235.46,234.53,235.29,149669.0,5061.0,235.048256
TSLA,2023-08-14 13:28:00+00:00,235.29,235.6,235.29,235.5,24580.0,541.0,235.450803
TSLA,2023-08-14 13:29:00+00:00,235.49,235.71,235.49,235.695,31345.0,518.0,235.626554
TSLA,2023-08-14 13:30:00+00:00,235.7,236.04,234.09,234.1463,2064020.0,24014.0,235.235953
TSLA,2023-08-14 13:31:00+00:00,234.13,235.31,233.76,235.19,1039597.0,14893.0,234.551208
TSLA,2023-08-14 13:32:00+00:00,235.25,235.26,233.75,234.5,771346.0,10751.0,234.227882
TSLA,2023-08-14 13:33:00+00:00,234.4279,235.24,234.3,235.025,587590.0,7976.0,234.84404
TSLA,2023-08-14 13:34:00+00:00,234.94,235.22,234.4006,234.9,463554.0,6177.0,234.801185
TSLA,2023-08-14 13:35:00+00:00,234.85,235.06,234.2,234.3099,602111.0,8658.0,234.737075
TSLA,2023-08-14 13:36:00+00:00,234.22,235.249,234.0,234.72,586907.0,8950.0,234.683686
TSLA,2023-08-14 13:37:00+00:00,234.68,236.46,234.4831,236.0801,969870.0,14717.0,235.686397
TSLA,2023-08-14 13:38:00+00:00,236.1299,236.49,235.93,236.325,675082.0,9767.0,236.221387
TSLA,2023-08-14 13:39:00+00:00,236.309,236.65,235.88,236.0,656500.0,10150.0,236.348986
TSLA,2023-08-14 13:40:00+00:00,236.01,236.7,235.94,236.55,572530.0,7722.0,236.348288
TSLA,2023-08-14 13:41:00+00:00,236.545,236.8211,236.15,236.31,499907.0,6682.0,236.540658
TSLA,2023-08-14 13:42:00+00:00,236.31,236.33,235.71,235.92,455616.0,7759.0,235.949644
TSLA,2023-08-14 13:43:00+00:00,235.93,235.9387,235.22,235.8099,558863.0,8080.0,235.576346
TSLA,2023-08-14 13:44:00+00:00,235.79,236.25,235.3262,235.5,532568.0,6788.0,235.790104
TSLA,2023-08-14 13:45:00+00:00,235.49,235.97,235.4,235.785,345754.0,6846.0,235.727385
TSLA,2023-08-14 13:46:00+00:00,235.78,236.7,235.3601,235.955,719811.0,10600.0,236.033534
TSLA,2023-08-14 13:47:00+00:00,235.9554,236.0,234.62,234.69,738742.0,11517.0,235.162796
TSLA,2023-08-14 13:48:00+00:00,234.665,235.0413,234.35,234.815,515145.0,7553.0,234.728173
TSLA,2023-08-14 13:49:00+00:00,234.84,235.13,234.66,235.04,329365.0,5283.0,234.911922
TSLA,2023-08-14 13:50:00+00:00,235.0251,235.3,234.77,235.2101,426720.0,6445.0,235.041777
TSLA,2023-08-14 13:51:00+00:00,235.2363,235.93,234.9992,235.93,458477.0,6941.0,235.513425
TSLA,2023-08-14 13:52:00+00:00,235.9016,236.365,235.7531,236.24,494848.0,7527.0,236.07695
TSLA,2023-08-14 13:53:00+00:00,236.26,237.08,236.14,236.98,660148.0,9613.0,236.593687
TSLA,2023-08-14 13:54:00+00:00,237.0,237.06,236.53,236.62,357150.0,6244.0,236.775871
TSLA,2023-08-14 13:55:00+00:00,236.62,236.735,236.22,236.35,371300.0,6188.0,236.487443
TSLA,2023-08-14 13:56:00+00:00,236.3801,236.5,235.855,235.855,507480.0,8317.0,236.205531
TSLA,2023-08-14 13:57:00+00:00,235.84,236.2195,235.81,236.048,250498.0,4878.0,236.046531
TSLA,2023-08-14 13:58:00+00:00,236.035,236.1,235.7109,235.875,345223.0,5780.0,235.898255
TSLA,2023-08-14 13:59:00+00:00,235.9,236.5,235.73,236.47,368880.0,6158.0,236.204614
TSLA,2023-08-14 14:00:00+00:00,236.44,236.47,236.0514,236.175,261261.0,4190.0,236.246388
TSLA,2023-08-14 14:01:00+00:00,236.1769,236.46,235.96,236.26,357827.0,5217.0,236.244249
TSLA,2023-08-14 14:02:00+00:00,236.28,237.2,236.264,236.7524,619979.0,9822.0,236.875408
TSLA,2023-08-14 14:03:00+00:00,236.77,237.07,236.6435,236.94,319767.0,4917.0,236.847174
TSLA,2023-08-14 14:04:00+00:00,236.93,237.57,236.87,237.51,582646.0,7850.0,237.270985
TSLA,2023-08-14 14:05:00+00:00,237.5499,237.5499,236.98,237.22,472655.0,7720.0,237.253998
TSLA,2023-08-14 14:06:00+00:00,237.2347,237.32,236.88,237.23,345104.0,5597.0,237.143361
TSLA,2023-08-14 14:07:00+00:00,237.19,237.28,236.93,237.12,262164.0,5285.0,237.120599
